Henry Hub Natural Gas Spot Price
https://www.eia.gov/dnav/ng/hist/rngwhhdm.htm
11:41:07 GMT-0400 (Eastern Daylight Time)
Data Source: Thomson Reuters
Month,Henry Hub Natural Gas Spot Price Dollars per Million Btu
Feb 2022,4.69
Jan 2022,4.38
Dec 2021,3.76
Nov 2021,5.05
Oct 2021,5.51
Sep 2021,5.16
Aug 2021,4.07
Jul 2021,3.84
Jun 2021,3.26
May 2021,2.91
Apr 2021,2.66
Mar 2021,2.62
Feb 2021,5.35
Jan 2021,2.71
Dec 2020,2.59
Nov 2020,2.61
Oct 2020,2.39
Sep 2020,1.92
Aug 2020,2.3
Jul 2020,1.77
Jun 2020,1.63
May 2020,1.75
Apr 2020,1.74
Mar 2020,1.79
Feb 2020,1.91
Jan 2020,2.02
Dec 2019,2.22
Nov 2019,2.65
Oct 2019,2.33
Sep 2019,2.56
Aug 2019,2.22
Jul 2019,2.37
Jun 2019,2.4
May 2019,2.64
Apr 2019,2.65
Mar 2019,2.95
Feb 2019,2.69
Jan 2019,3.11
Dec 2018,4.04
Nov 2018,4.09
Oct 2018,3.28
Sep 2018,3
Aug 2018,2.96
Jul 2018,2.83
Jun 2018,2.97
May 2018,2.8
Apr 2018,2.8
Mar 2018,2.69
Feb 2018,2.67
Jan 2018,3.87
Dec 2017,2.82
Nov 2017,3.01
Oct 2017,2.88
Sep 2017,2.98
Aug 2017,2.9
Jul 2017,2.98
Jun 2017,2.98
May 2017,3.15
Apr 2017,3.1
Mar 2017,2.88
Feb 2017,2.85
Jan 2017,3.3
Dec 2016,3.59
Nov 2016,2.55
Oct 2016,2.98
Sep 2016,2.99
Aug 2016,2.82
Jul 2016,2.82
Jun 2016,2.59
May 2016,1.92
Apr 2016,1.92
Mar 2016,1.73
Feb 2016,1.99
Jan 2016,2.28
Dec 2015,1.93
Nov 2015,2.09
Oct 2015,2.34
Sep 2015,2.66
Aug 2015,2.77
Jul 2015,2.84
Jun 2015,2.78
May 2015,2.85
Apr 2015,2.61
Mar 2015,2.83
Feb 2015,2.87
Jan 2015,2.99
Dec 2014,3.48
Nov 2014,4.12
Oct 2014,3.78
Sep 2014,3.92
Aug 2014,3.91
Jul 2014,4.05
Jun 2014,4.59
May 2014,4.58
Apr 2014,4.66
Mar 2014,4.9
Feb 2014,6
Jan 2014,4.71
Dec 2013,4.24
Nov 2013,3.64
Oct 2013,3.68
Sep 2013,3.62
Aug 2013,3.43
Jul 2013,3.62
Jun 2013,3.83
May 2013,4.04
Apr 2013,4.17
Mar 2013,3.81
Feb 2013,3.33
Jan 2013,3.33
Dec 2012,3.34
Nov 2012,3.54
Oct 2012,3.32
Sep 2012,2.85
Aug 2012,2.84
Jul 2012,2.95
Jun 2012,2.46
May 2012,2.43
Apr 2012,1.95
Mar 2012,2.17
Feb 2012,2.51
Jan 2012,2.67
Dec 2011,3.17
Nov 2011,3.24
Oct 2011,3.57
Sep 2011,3.9
Aug 2011,4.06
Jul 2011,4.42
Jun 2011,4.54
May 2011,4.31
Apr 2011,4.24
Mar 2011,3.97
Feb 2011,4.09
Jan 2011,4.49
Dec 2010,4.25
Nov 2010,3.71
Oct 2010,3.43
Sep 2010,3.89
Aug 2010,4.32
Jul 2010,4.63
Jun 2010,4.8
May 2010,4.14
Apr 2010,4.03
Mar 2010,4.29
Feb 2010,5.32
Jan 2010,5.83
Dec 2009,5.35
Nov 2009,3.66
Oct 2009,4.01
Sep 2009,2.99
Aug 2009,3.14
Jul 2009,3.38
Jun 2009,3.8
May 2009,3.83
Apr 2009,3.5
Mar 2009,3.96
Feb 2009,4.52
Jan 2009,5.24
Dec 2008,5.82
Nov 2008,6.68
Oct 2008,6.74
Sep 2008,7.67
Aug 2008,8.26
Jul 2008,11.09
Jun 2008,12.69
May 2008,11.27
Apr 2008,10.18
Mar 2008,9.41
Feb 2008,8.54
Jan 2008,7.99
Dec 2007,7.11
Nov 2007,7.1
Oct 2007,6.74
Sep 2007,6.08
Aug 2007,6.22
Jul 2007,6.22
Jun 2007,7.35
May 2007,7.64
Apr 2007,7.6
Mar 2007,7.11
Feb 2007,8
Jan 2007,6.55
Dec 2006,6.73
Nov 2006,7.41
Oct 2006,5.85
Sep 2006,4.9
Aug 2006,7.14
Jul 2006,6.17
Jun 2006,6.21
